tuberculosis;disease has infectious agent;Mycobacterium tuberculosis
mycobacterium xenopi infection;disease has infectious agent;Mycobacterium xenopi
epidemic louse-borne typhus;disease has infectious agent;Rickettsia prowazekii
Plasmodium vivax malaria;disease has infectious agent;Plasmodium vivax
diphtheria;disease has infectious agent;Corynebacterium diphtheriae
dracunculiasis;disease has infectious agent;Dracunculus medinensis
Queensland tick typhus;disease has infectious agent;Rickettsia australis
setariasis;disease has infectious agent;Setaria <nematodes>
leptospirosis;disease has infectious agent;Leptospira
Rhabditida infectious disease;disease has infectious agent;Rhabditida
Trichomonas vaginitis urogenital infection;disease has infectious agent;Trichomonas vaginalis
Proteus infectious disease;disease has infectious agent;Proteus <enterobacteria>
fungal infectious disease;disease has infectious agent;Fungi
dirofilariasis;disease has infectious agent;Dirofilaria
la Crosse encephalitis;disease has infectious agent;La Crosse virus
spirillary rat-bite fever;disease has infectious agent;Spirillum
Ciliophora infectious disease;disease has infectious agent;Ciliophora
African tick-bite fever;disease has infectious agent;Rickettsia africae
giardiasis;disease has infectious agent;Giardia
enterobiasis;disease has infectious agent;Enterobius vermicularis
coccidioidomycosis;disease has infectious agent;Coccidioides immitis
nocardiosis;disease has infectious agent;Nocardia asteroides
lymphogranuloma venereum;disease has infectious agent;Chlamydia trachomatis L2/434/Bu
salmonellosis;disease has infectious agent;Salmonella
syphilis;disease has infectious agent;Treponema pallidum
tinea manuum;disease has infectious agent;Ascomycota
gonorrhea;disease has infectious agent;Neisseria gonorrhoeae
chikungunya;disease has infectious agent;Chikungunya virus
bulbar polio;disease has infectious agent;Poliovirus 1
ascariasis;disease has infectious agent;Ascaris lumbricoides
Japanese spotted fever;disease has infectious agent;Rickettsia japonica
Chagas disease;disease has infectious agent;Trypanosoma cruzi
Chagas disease;disease has infectious agent;Triatominae
vibrio vulnificus infectious disease;disease has infectious agent;Vibrio vulnificus
herpangina;disease has infectious agent;Coxsackievirus
herpangina;disease has infectious agent;Coxsackievirus A16
herpangina;disease has infectious agent;Enterovirus A71
brucellosis;disease has infectious agent;Brucella
pneumococcal infection;disease has infectious agent;Streptococcus pneumoniae
Fusobacterium infectious disease;disease has infectious agent;Fusobacterium
parasitic Ichthyosporea infectious disease;disease has infectious agent;Ichthyosporea
African histoplasmosis;disease has infectious agent;Histoplasma capsulatum var. duboisii
dengue disease;disease has infectious agent;Dengue virus
lobomycosis;disease has infectious agent;Lacazia loboi
exanthema subitum;disease has infectious agent;Human betaherpesvirus 6
exanthema subitum;disease has infectious agent;Human betaherpesvirus 7
st. Louis encephalitis;disease has infectious agent;Saint Louis encephalitis virus
hepatitis D virus infection;disease has infectious agent;Hepatitis B virus
cholera;disease has infectious agent;Vibrio cholerae
Kaposi's sarcoma;disease has infectious agent;Human gammaherpesvirus 8
Q fever;disease has infectious agent;Coxiella burnetii
alveolar echinococcosis;disease has infectious agent;Echinococcus multilocularis
granuloma inguinale;disease has infectious agent;Klebsiella granulomatis
inherited susceptibility to mycobacterial diseases;disease has infectious agent;Mycobacterium
Buruli ulcer disease;disease has infectious agent;Mycobacterium ulcerans
western equine encephalitis;disease has infectious agent;Western equine encephalitis virus
AIDS;disease has infectious agent;Human immunodeficiency virus
alternariosis;disease has infectious agent;Alternaria
candida glabrata infection;disease has infectious agent;Nakaseomyces glabratus
HIV infectious disease;disease has infectious agent;Human immunodeficiency virus 1
HIV infectious disease;disease has infectious agent;Human immunodeficiency virus 2
trichomoniasis;disease has infectious agent;Trichomonas
spotted fever;disease has infectious agent;Rickettsia
pityriasis versicolor;disease has infectious agent;Malassezia furfur
tick infestation;disease has infectious agent;Ixodoidea
echinococcus granulosus infectious disease;disease has infectious agent;Echinococcus granulosus
plague;disease has infectious agent;Yersinia pestis
glanders;disease has infectious agent;Burkholderia mallei
histoplasmosis;disease has infectious agent;Histoplasma
spirochaetales infections;disease has infectious agent;Spirochaetota
Bifidobacteriales infectious disease;disease has infectious agent;Bifidobacteriales
Nematoda infectious disease;disease has infectious agent;Nematoda
Astrakhan spotted fever;disease has infectious agent;Rickettsia conorii subsp. caspia
toxoplasmosis;disease has infectious agent;Anemia
toxoplasmosis;disease has infectious agent;Toxoplasma gondii
blastomycosis;disease has infectious agent;Blastomyces dermatitidis
Schistosoma intercalatum infectious disease;disease has infectious agent;Schistosoma intercalatum
Venezuelan equine encephalitis;disease has infectious agent;Venezuelan equine encephalitis virus
Actinobacillus infectious disease;disease has infectious agent;Actinobacillus
streptobacillary rat-bite fever;disease has infectious agent;Streptobacillus moniliformis
tinea pedis;disease has infectious agent;Epidermophyton
tinea pedis;disease has infectious agent;Trichophyton
severe acute respiratory syndrome;disease has infectious agent;Severe acute respiratory syndrome-related coronavirus
pseudotyphus of California;disease has infectious agent;Rickettsia felis
paracoccidioidomycosis;disease has infectious agent;Paracoccidioides brasiliensis
escherichia coli infection;disease has infectious agent;Escherichia coli
scarlet fever;disease has infectious agent;Streptococcus pyogenes
Desulfovibrionaceae infectious disease;disease has infectious agent;Desulfovibrionaceae
Yersinia pseudotuberculosis infectious disease;disease has infectious agent;Yersinia pseudotuberculosis
hantavirus pulmonary syndrome;disease has infectious agent;Orthohantavirus andesense
Schistosoma mansoni infectious disease;disease has infectious agent;Schistosoma mansoni
amebiasis;disease has infectious agent;Entamoeba histolytica
ancylostomiasis;disease has infectious agent;Ancylostoma
tinea profunda;disease has infectious agent;Trichophyton mentagrophytes
babesiosis;disease has infectious agent;Babesia
toxocariasis;disease has infectious agent;Toxocara
echinococcosis;disease has infectious agent;Echinococcus
cat-scratch disease;disease has infectious agent;Bartonella henselae
penicilliosis;disease has infectious agent;Talaromyces marneffei
mycobacterium avium complex disease;disease has infectious agent;Mycobacterium avium complex sp.
Colorado tick fever;disease has infectious agent;Colorado tick fever virus
hepatitis A virus infection;disease has infectious agent;Hepatovirus A
anogenital human papillomavirus infection;disease has infectious agent;Human papillomavirus types
myiasis;disease has infectious agent;Diptera
Actinomycetales infectious disease;disease has infectious agent;Actinomycetales
Zika virus infectious disease;disease has infectious agent;Zika virus
dipetalonemiasis;disease has infectious agent;Mansonella perstans
trypanosomiasis;disease has infectious agent;Trypanosoma
primary amebic meningoencephalitis;disease has infectious agent;Naegleria fowleri
diphyllobothriasis;disease has infectious agent;Dibothriocephalus dendriticus
diphyllobothriasis;disease has infectious agent;Diphyllobothrium cordatum
diphyllobothriasis;disease has infectious agent;Dibothriocephalus latus
human African trypanosomiasis;disease has infectious agent;Trypanosoma brucei
Plasmodium falciparum malaria;disease has infectious agent;Plasmodium falciparum
contagious pustular dermatitis;disease has infectious agent;Orf virus
streptobacillus infectious disease;disease has infectious agent;Streptobacillus
metagonimiasis;disease has infectious agent;Metagonimus yokogawai
malaria;disease has infectious agent;Plasmodium
Schistosoma japonicum infectious disease;disease has infectious agent;Schistosoma japonicum
heterophyiasis;disease has infectious agent;Heterophyes
Oroya fever;disease has infectious agent;Bartonella bacilliformis
Clostridium difficile colitis;disease has infectious agent;Clostridioides difficile
trombiculiasis;disease has infectious agent;Trombiculidae
Cestode infectious disease;disease has infectious agent;Cestoda
Whipple disease;disease has infectious agent;Tropheryma whipplei
pneumocystosis;disease has infectious agent;Pneumocystis jirovecii
influenza;disease has infectious agent;Orthomyxoviridae
Yersinia enterocolitica infectious disease;disease has infectious agent;Yersinia enterocolitica
bejel;disease has infectious agent;Treponema pallidum subsp. endemicum
melioidosis;disease has infectious agent;Burkholderia pseudomallei
Anaplasmataceae infectious disease;disease has infectious agent;Anaplasmataceae
shigellosis;disease has infectious agent;Shigella boydii
sennetsu fever;disease has infectious agent;Neorickettsia sennetsu
human monocytic ehrlichiosis;disease has infectious agent;Ehrlichia chaffeensis
subacute sclerosing panencephalitis;disease has infectious agent;Measles morbillivirus
